timestamp,household_id,demand_lps
2026-01-01 00:00:00,H_J1_1,0.29321
2026-01-01 00:15:00,H_J1_1,0.31567
2026-01-01 00:30:00,H_J1_1,0.28184
2026-01-01 00:45:00,H_J1_1,0.26807
2026-01-01 01:00:00,H_J1_1,0.274
2026-01-01 01:15:00,H_J1_1,0.28039
2026-01-01 01:30:00,H_J1_1,0.35349
2026-01-01 01:45:00,H_J1_1,0.28
2026-01-01 02:00:00,H_J1_1,0.32055
2026-01-01 02:15:00,H_J1_1,0.27943
2026-01-01 02:30:00,H_J1_1,0.32412
2026-01-01 02:45:00,H_J1_1,0.31066
2026-01-01 03:00:00,H_J1_1,0.29782
2026-01-01 03:15:00,H_J1_1,0.30093
2026-01-01 03:30:00,H_J1_1,0.28692
2026-01-01 03:45:00,H_J1_1,0.31405
2026-01-01 04:00:00,H_J1_1,0.29331
2026-01-01 04:15:00,H_J1_1,0.2775
2026-01-01 04:30:00,H_J1_1,0.27906
2026-01-01 04:45:00,H_J1_1,0.31801
2026-01-01 05:00:00,H_J1_1,0.36333
2026-01-01 05:15:00,H_J1_1,0.33345
2026-01-01 05:30:00,H_J1_1,0.33776
2026-01-01 05:45:00,H_J1_1,0.36388
2026-01-01 06:00:00,H_J1_1,0.41412
2026-01-01 06:15:00,H_J1_1,0.39952
2026-01-01 06:30:00,H_J1_1,0.39992
2026-01-01 06:45:00,H_J1_1,0.47401
2026-01-01 07:00:00,H_J1_1,0.46851
2026-01-01 07:15:00,H_J1_1,0.52943
2026-01-01 07:30:00,H_J1_1,0.48599
2026-01-01 07:45:00,H_J1_1,0.43861
2026-01-01 08:00:00,H_J1_1,0.43221
2026-01-01 08:15:00,H_J1_1,0.54141
2026-01-01 08:30:00,H_J1_1,0.52938
2026-01-01 08:45:00,H_J1_1,0.43744
2026-01-01 09:00:00,H_J1_1,0.41092
2026-01-01 09:15:00,H_J1_1,0.45259
2026-01-01 09:30:00,H_J1_1,0.34968
2026-01-01 09:45:00,H_J1_1,0.33802
2026-01-01 10:00:00,H_J1_1,0.36486
2026-01-01 10:15:00,H_J1_1,0.32245
2026-01-01 10:30:00,H_J1_1,0.32169
2026-01-01 10:45:00,H_J1_1,0.30933
2026-01-01 11:00:00,H_J1_1,0.31553
2026-01-01 11:15:00,H_J1_1,0.33859
2026-01-01 11:30:00,H_J1_1,0.30132
2026-01-01 11:45:00,H_J1_1,0.31226
2026-01-01 12:00:00,H_J1_1,0.24994
2026-01-01 12:15:00,H_J1_1,0.29151
2026-01-01 12:30:00,H_J1_1,0.27192
2026-01-01 12:45:00,H_J1_1,0.26229
2026-01-01 13:00:00,H_J1_1,0.26791
2026-01-01 13:15:00,H_J1_1,0.27816
2026-01-01 13:30:00,H_J1_1,0.30569
2026-01-01 13:45:00,H_J1_1,0.25429
2026-01-01 14:00:00,H_J1_1,0.28256
2026-01-01 14:15:00,H_J1_1,0.27096
2026-01-01 14:30:00,H_J1_1,0.27509
2026-01-01 14:45:00,H_J1_1,0.30813
2026-01-01 15:00:00,H_J1_1,0.30061
2026-01-01 15:15:00,H_J1_1,0.32653
2026-01-01 15:30:00,H_J1_1,0.29732
2026-01-01 15:45:00,H_J1_1,0.29419
2026-01-01 16:00:00,H_J1_1,0.31778
2026-01-01 16:15:00,H_J1_1,0.34506
2026-01-01 16:30:00,H_J1_1,0.36057
2026-01-01 16:45:00,H_J1_1,0.34323
2026-01-01 17:00:00,H_J1_1,0.3971
2026-01-01 17:15:00,H_J1_1,0.42202
2026-01-01 17:30:00,H_J1_1,0.5306
2026-01-01 17:45:00,H_J1_1,0.52464
2026-01-01 18:00:00,H_J1_1,0.43565
2026-01-01 18:15:00,H_J1_1,0.46684
2026-01-01 18:30:00,H_J1_1,0.4311
2026-01-01 18:45:00,H_J1_1,0.46435
2026-01-01 19:00:00,H_J1_1,0.49652
2026-01-01 19:15:00,H_J1_1,0.52511
2026-01-01 19:30:00,H_J1_1,0.43901
2026-01-01 19:45:00,H_J1_1,0.4276
2026-01-01 20:00:00,H_J1_1,0.36494
2026-01-01 20:15:00,H_J1_1,0.40931
2026-01-01 20:30:00,H_J1_1,0.36334
2026-01-01 20:45:00,H_J1_1,0.36129
2026-01-01 21:00:00,H_J1_1,0.33513
2026-01-01 21:15:00,H_J1_1,0.3412
2026-01-01 21:30:00,H_J1_1,0.28687
2026-01-01 21:45:00,H_J1_1,0.28354
2026-01-01 22:00:00,H_J1_1,0.3673
2026-01-01 22:15:00,H_J1_1,0.27319
2026-01-01 22:30:00,H_J1_1,0.27276
2026-01-01 22:45:00,H_J1_1,0.34094
2026-01-01 23:00:00,H_J1_1,0.36871
2026-01-01 23:15:00,H_J1_1,0.26516
2026-01-01 23:30:00,H_J1_1,0.28252
2026-01-01 23:45:00,H_J1_1,0.29936
2026-01-01 00:00:00,H_J1_2,0.01525
2026-01-01 00:15:00,H_J1_2,0.01492
2026-01-01 00:30:00,H_J1_2,0.01406
2026-01-01 00:45:00,H_J1_2,0.0144
2026-01-01 01:00:00,H_J1_2,0.0131
2026-01-01 01:15:00,H_J1_2,0.0144
2026-01-01 01:30:00,H_J1_2,0.01441
2026-01-01 01:45:00,H_J1_2,0.01505
2026-01-01 02:00:00,H_J1_2,0.01417
2026-01-01 02:15:00,H_J1_2,0.01542
2026-01-01 02:30:00,H_J1_2,0.01614
2026-01-01 02:45:00,H_J1_2,0.01511
2026-01-01 03:00:00,H_J1_2,0.01539
2026-01-01 03:15:00,H_J1_2,0.0151
2026-01-01 03:30:00,H_J1_2,0.01514
2026-01-01 03:45:00,H_J1_2,0.01443
2026-01-01 04:00:00,H_J1_2,0.01591
2026-01-01 04:15:00,H_J1_2,0.0157
2026-01-01 04:30:00,H_J1_2,0.01922
2026-01-01 04:45:00,H_J1_2,0.01907
2026-01-01 05:00:00,H_J1_2,0.01807
2026-01-01 05:15:00,H_J1_2,0.01727
2026-01-01 05:30:00,H_J1_2,0.01766
2026-01-01 05:45:00,H_J1_2,0.02235
2026-01-01 06:00:00,H_J1_2,0.02179
2026-01-01 06:15:00,H_J1_2,0.02315
2026-01-01 06:30:00,H_J1_2,0.02006
2026-01-01 06:45:00,H_J1_2,0.02545
2026-01-01 07:00:00,H_J1_2,0.0248
2026-01-01 07:15:00,H_J1_2,0.02185
2026-01-01 07:30:00,H_J1_2,0.02266
2026-01-01 07:45:00,H_J1_2,0.0234
2026-01-01 08:00:00,H_J1_2,0.02216
2026-01-01 08:15:00,H_J1_2,0.02059
2026-01-01 08:30:00,H_J1_2,0.01987
2026-01-01 08:45:00,H_J1_2,0.01862
